inclusion_index,exclusion_index,exclusion_code,regex_prefix
8,14,V20-V99,^V58
8,14,V20-V99,^V59
8,14,V20-V99,^V60
8,14,V20-V99,^V61
8,14,V20-V99,^V62
8,14,V20-V99,^V63
8,14,V20-V99,^V64
8,14,V20-V99,^V65
8,14,V20-V99,^V66
8,14,V20-V99,^V67
8,14,V20-V99,^V68
8,14,V20-V99,^V69
8,14,V20-V99,^V70
8,14,V20-V99,^V71
8,14,V20-V99,^V72
8,14,V20-V99,^V73
8,14,V20-V99,^V74
8,14,V20-V99,^V75
8,14,V20-V99,^V76
8,14,V20-V99,^V77
8,14,V20-V99,^V78
8,14,V20-V99,^V79
8,14,V20-V99,^V80
8,14,V20-V99,^V81
8,14,V20-V99,^V82
8,14,V20-V99,^V83
8,14,V20-V99,^V84
8,14,V20-V99,^V85
8,14,V20-V99,^V86
8,14,V20-V99,^V87
8,14,V20-V99,^V88
8,14,V20-V99,^V89
8,14,V20-V99,^V90
8,14,V20-V99,^V91
8,14,V20-V99,^V92
8,14,V20-V99,^V93
8,14,V20-V99,^V94
8,14,V20-V99,^V95
8,14,V20-V99,^V96
8,14,V20-V99,^V97
8,14,V20-V99,^V98
8,14,V20-V99,^V99
9,14,V20-V99,^V20
9,14,V20-V99,^V21
9,14,V20-V99,^V22
9,14,V20-V99,^V23
9,14,V20-V99,^V24
9,14,V20-V99,^V25
9,14,V20-V99,^V26
9,14,V20-V99,^V27
9,14,V20-V99,^V28
9,14,V20-V99,^V29
9,14,V20-V99,^V30
9,14,V20-V99,^V31
9,14,V20-V99,^V32
9,14,V20-V99,^V33
9,14,V20-V99,^V34
9,14,V20-V99,^V35
9,14,V20-V99,^V36
9,14,V20-V99,^V37
9,14,V20-V99,^V38
9,14,V20-V99,^V39
9,14,V20-V99,^V40
9,14,V20-V99,^V41
9,14,V20-V99,^V42
9,14,V20-V99,^V43
9,14,V20-V99,^V44
9,14,V20-V99,^V45
9,14,V20-V99,^V46
9,14,V20-V99,^V47
9,14,V20-V99,^V48
9,14,V20-V99,^V49
9,14,V20-V99,^V50
9,14,V20-V99,^V51
9,14,V20-V99,^V52
9,14,V20-V99,^V53
9,14,V20-V99,^V54
9,14,V20-V99,^V55
9,14,V20-V99,^V56
9,14,V20-V99,^V57
9,14,V20-V99,^V58
9,14,V20-V99,^V59
9,14,V20-V99,^V60
9,14,V20-V99,^V61
9,14,V20-V99,^V62
9,14,V20-V99,^V63
9,14,V20-V99,^V64
9,14,V20-V99,^V65
9,14,V20-V99,^V66
9,14,V20-V99,^V67
9,14,V20-V99,^V68
9,14,V20-V99,^V69
9,14,V20-V99,^V70
9,14,V20-V99,^V71
9,14,V20-V99,^V72
9,14,V20-V99,^V73
9,14,V20-V99,^V74
9,14,V20-V99,^V75
9,14,V20-V99,^V76
9,14,V20-V99,^V77
9,14,V20-V99,^V78
9,14,V20-V99,^V79
9,14,V20-V99,^V80
9,14,V20-V99,^V81
9,14,V20-V99,^V82
9,14,V20-V99,^V83
9,14,V20-V99,^V84
9,14,V20-V99,^V85
9,14,V20-V99,^V86
9,14,V20-V99,^V87
9,14,V20-V99,^V88
9,14,V20-V99,^V89
9,14,V20-V99,^V90
9,14,V20-V99,^V91
9,14,V20-V99,^V92
9,14,V20-V99,^V93
9,14,V20-V99,^V94
9,14,V20-V99,^V95
9,14,V20-V99,^V96
9,14,V20-V99,^V97
9,14,V20-V99,^V98
9,14,V20-V99,^V99
10,14,V20-V99,^V20
10,14,V20-V99,^V21
10,14,V20-V99,^V22
10,14,V20-V99,^V23
10,14,V20-V99,^V24
10,14,V20-V99,^V25
10,14,V20-V99,^V26
10,14,V20-V99,^V27
10,14,V20-V99,^V28
10,14,V20-V99,^V29
10,14,V20-V99,^V30
10,14,V20-V99,^V31
10,14,V20-V99,^V32
10,14,V20-V99,^V33
10,14,V20-V99,^V34
10,14,V20-V99,^V35
10,14,V20-V99,^V36
10,14,V20-V99,^V37
10,14,V20-V99,^V38
10,14,V20-V99,^V39
10,14,V20-V99,^V40
10,14,V20-V99,^V41
10,14,V20-V99,^V42
10,14,V20-V99,^V43
10,14,V20-V99,^V44
10,14,V20-V99,^V45
10,14,V20-V99,^V46
10,14,V20-V99,^V47
10,14,V20-V99,^V48
10,14,V20-V99,^V49
10,14,V20-V99,^V50
10,14,V20-V99,^V51
10,14,V20-V99,^V52
10,14,V20-V99,^V53
10,14,V20-V99,^V54
10,14,V20-V99,^V55
10,14,V20-V99,^V56
10,14,V20-V99,^V57
10,14,V20-V99,^V58
10,14,V20-V99,^V59
10,14,V20-V99,^V60
10,14,V20-V99,^V61
10,14,V20-V99,^V62
10,14,V20-V99,^V63
10,14,V20-V99,^V64
10,14,V20-V99,^V65
10,14,V20-V99,^V66
10,14,V20-V99,^V67
10,14,V20-V99,^V68
10,14,V20-V99,^V69
10,14,V20-V99,^V70
10,14,V20-V99,^V71
10,14,V20-V99,^V72
10,14,V20-V99,^V73
10,14,V20-V99,^V74
10,14,V20-V99,^V75
10,14,V20-V99,^V76
10,14,V20-V99,^V77
10,14,V20-V99,^V78
10,14,V20-V99,^V79
10,14,V20-V99,^V80
10,14,V20-V99,^V81
10,14,V20-V99,^V82
10,14,V20-V99,^V83
10,14,V20-V99,^V84
10,14,V20-V99,^V85
10,14,V20-V99,^V86
10,14,V20-V99,^V87
10,14,V20-V99,^V88
10,14,V20-V99,^V89
10,14,V20-V99,^V90
10,14,V20-V99,^V91
10,14,V20-V99,^V92
10,14,V20-V99,^V93
10,14,V20-V99,^V94
10,14,V20-V99,^V95
10,14,V20-V99,^V96
10,14,V20-V99,^V97
10,14,V20-V99,^V98
10,14,V20-V99,^V99
11,14,V20-V99,^V20
11,14,V20-V99,^V21
11,14,V20-V99,^V22
11,14,V20-V99,^V23
11,14,V20-V99,^V24
11,14,V20-V99,^V25
11,14,V20-V99,^V26
11,14,V20-V99,^V27
11,14,V20-V99,^V28
11,14,V20-V99,^V29
11,14,V20-V99,^V30
11,14,V20-V99,^V31
11,14,V20-V99,^V32
11,14,V20-V99,^V33
11,14,V20-V99,^V34
11,14,V20-V99,^V35
11,14,V20-V99,^V36
11,14,V20-V99,^V37
11,14,V20-V99,^V38
11,14,V20-V99,^V39
11,14,V20-V99,^V40
11,14,V20-V99,^V41
11,14,V20-V99,^V42
11,14,V20-V99,^V43
11,14,V20-V99,^V44
11,14,V20-V99,^V45
11,14,V20-V99,^V46
11,14,V20-V99,^V47
11,14,V20-V99,^V48
11,14,V20-V99,^V49
11,14,V20-V99,^V50
11,14,V20-V99,^V51
11,14,V20-V99,^V52
11,14,V20-V99,^V53
11,14,V20-V99,^V54
11,14,V20-V99,^V55
11,14,V20-V99,^V56
11,14,V20-V99,^V57
11,14,V20-V99,^V58
11,14,V20-V99,^V59
11,14,V20-V99,^V60
11,14,V20-V99,^V61
11,14,V20-V99,^V62
11,14,V20-V99,^V63
11,14,V20-V99,^V64
11,14,V20-V99,^V65
11,14,V20-V99,^V66
11,14,V20-V99,^V67
11,14,V20-V99,^V68
11,14,V20-V99,^V69
11,14,V20-V99,^V70
11,14,V20-V99,^V71
11,14,V20-V99,^V72
11,14,V20-V99,^V73
11,14,V20-V99,^V74
11,14,V20-V99,^V75
11,14,V20-V99,^V76
11,14,V20-V99,^V77
11,14,V20-V99,^V78
11,14,V20-V99,^V79
11,14,V20-V99,^V80
11,14,V20-V99,^V81
11,14,V20-V99,^V82
11,14,V20-V99,^V83
11,14,V20-V99,^V84
11,14,V20-V99,^V85
11,14,V20-V99,^V86
11,14,V20-V99,^V87
11,14,V20-V99,^V88
11,14,V20-V99,^V89
11,14,V20-V99,^V90
11,14,V20-V99,^V91
11,14,V20-V99,^V92
11,14,V20-V99,^V93
11,14,V20-V99,^V94
11,14,V20-V99,^V95
11,14,V20-V99,^V96
11,14,V20-V99,^V97
11,14,V20-V99,^V98
11,14,V20-V99,^V99
12,14,V20-V99,^V20
12,14,V20-V99,^V21
12,14,V20-V99,^V22
12,14,V20-V99,^V23
12,14,V20-V99,^V24
12,14,V20-V99,^V25
12,14,V20-V99,^V26
12,14,V20-V99,^V27
12,14,V20-V99,^V28
12,14,V20-V99,^V29
12,14,V20-V99,^V30
12,14,V20-V99,^V31
12,14,V20-V99,^V32
12,14,V20-V99,^V33
12,14,V20-V99,^V34
12,14,V20-V99,^V35
12,14,V20-V99,^V36
12,14,V20-V99,^V37
12,14,V20-V99,^V38
12,14,V20-V99,^V39
12,14,V20-V99,^V40
12,14,V20-V99,^V41
12,14,V20-V99,^V42
12,14,V20-V99,^V43
12,14,V20-V99,^V44
12,14,V20-V99,^V45
12,14,V20-V99,^V46
12,14,V20-V99,^V47
12,14,V20-V99,^V48
12,14,V20-V99,^V49
12,14,V20-V99,^V50
12,14,V20-V99,^V51
12,14,V20-V99,^V52
12,14,V20-V99,^V53
12,14,V20-V99,^V54
12,14,V20-V99,^V55
12,14,V20-V99,^V56
12,14,V20-V99,^V57
12,14,V20-V99,^V58
12,14,V20-V99,^V59
12,14,V20-V99,^V60
12,14,V20-V99,^V61
12,14,V20-V99,^V62
12,14,V20-V99,^V63
12,14,V20-V99,^V64
12,14,V20-V99,^V65
12,14,V20-V99,^V66
12,14,V20-V99,^V67
12,14,V20-V99,^V68
12,14,V20-V99,^V69
12,14,V20-V99,^V70
12,14,V20-V99,^V71
12,14,V20-V99,^V72
12,14,V20-V99,^V73
12,14,V20-V99,^V74
12,14,V20-V99,^V75
12,14,V20-V99,^V76
12,14,V20-V99,^V77
12,14,V20-V99,^V78
12,14,V20-V99,^V79
12,14,V20-V99,^V80
12,14,V20-V99,^V81
12,14,V20-V99,^V82
12,14,V20-V99,^V83
12,14,V20-V99,^V84
12,14,V20-V99,^V85
12,14,V20-V99,^V86
12,14,V20-V99,^V87
12,14,V20-V99,^V88
12,14,V20-V99,^V89
12,14,V20-V99,^V90
12,14,V20-V99,^V91
12,14,V20-V99,^V92
12,14,V20-V99,^V93
12,14,V20-V99,^V94
12,14,V20-V99,^V95
12,14,V20-V99,^V96
12,14,V20-V99,^V97
12,14,V20-V99,^V98
12,14,V20-V99,^V99
16,14,V20-V99,^V20
16,14,V20-V99,^V21
16,14,V20-V99,^V22
16,14,V20-V99,^V23
16,14,V20-V99,^V24
16,14,V20-V99,^V25
16,14,V20-V99,^V26
16,14,V20-V99,^V27
16,14,V20-V99,^V28
16,14,V20-V99,^V29
16,14,V20-V99,^V30
16,14,V20-V99,^V31
16,14,V20-V99,^V32
16,14,V20-V99,^V33
16,14,V20-V99,^V34
16,14,V20-V99,^V35
16,14,V20-V99,^V36
16,14,V20-V99,^V37
16,14,V20-V99,^V38
16,14,V20-V99,^V39
16,14,V20-V99,^V40
16,14,V20-V99,^V41
16,14,V20-V99,^V42
16,14,V20-V99,^V43
16,14,V20-V99,^V44
16,14,V20-V99,^V45
16,14,V20-V99,^V46
16,14,V20-V99,^V47
16,14,V20-V99,^V48
16,14,V20-V99,^V49
16,14,V20-V99,^V50
16,14,V20-V99,^V51
16,14,V20-V99,^V52
16,14,V20-V99,^V53
16,14,V20-V99,^V54
16,14,V20-V99,^V55
16,14,V20-V99,^V56
16,14,V20-V99,^V57
16,14,V20-V99,^V58
16,14,V20-V99,^V59
16,14,V20-V99,^V60
16,14,V20-V99,^V61
16,14,V20-V99,^V62
16,14,V20-V99,^V63
16,14,V20-V99,^V64
16,14,V20-V99,^V65
16,14,V20-V99,^V66
16,14,V20-V99,^V67
16,14,V20-V99,^V68
16,14,V20-V99,^V69
16,14,V20-V99,^V70
16,14,V20-V99,^V71
16,14,V20-V99,^V72
16,14,V20-V99,^V73
16,14,V20-V99,^V74
16,14,V20-V99,^V75
16,14,V20-V99,^V76
16,14,V20-V99,^V77
16,14,V20-V99,^V78
16,14,V20-V99,^V79
16,14,V20-V99,^V80
16,14,V20-V99,^V81
16,14,V20-V99,^V82
16,14,V20-V99,^V83
16,14,V20-V99,^V84
16,14,V20-V99,^V85
16,14,V20-V99,^V86
16,14,V20-V99,^V87
16,14,V20-V99,^V88
16,14,V20-V99,^V89
16,14,V20-V99,^V90
16,14,V20-V99,^V91
16,14,V20-V99,^V92
16,14,V20-V99,^V93
16,14,V20-V99,^V94
16,14,V20-V99,^V95
16,14,V20-V99,^V96
16,14,V20-V99,^V97
16,14,V20-V99,^V98
16,14,V20-V99,^V99
17,14,V20-V99,^V20
17,14,V20-V99,^V21
17,14,V20-V99,^V22
17,14,V20-V99,^V23
17,14,V20-V99,^V24
17,14,V20-V99,^V25
17,14,V20-V99,^V26
17,14,V20-V99,^V27
17,14,V20-V99,^V28
17,14,V20-V99,^V29
17,14,V20-V99,^V30
17,14,V20-V99,^V31
17,14,V20-V99,^V32
17,14,V20-V99,^V33
17,14,V20-V99,^V34
17,14,V20-V99,^V35
17,14,V20-V99,^V36
17,14,V20-V99,^V37
17,14,V20-V99,^V38
17,14,V20-V99,^V39
17,14,V20-V99,^V40
17,14,V20-V99,^V41
17,14,V20-V99,^V42
17,14,V20-V99,^V43
17,14,V20-V99,^V44
17,14,V20-V99,^V45
17,14,V20-V99,^V46
17,14,V20-V99,^V47
17,14,V20-V99,^V48
17,14,V20-V99,^V49
17,14,V20-V99,^V50
17,14,V20-V99,^V51
17,14,V20-V99,^V52
17,14,V20-V99,^V53
17,14,V20-V99,^V54
17,14,V20-V99,^V55
17,14,V20-V99,^V56
17,14,V20-V99,^V57
17,14,V20-V99,^V58
17,14,V20-V99,^V59
17,14,V20-V99,^V60
17,14,V20-V99,^V61
17,14,V20-V99,^V62
17,14,V20-V99,^V63
17,14,V20-V99,^V64
17,14,V20-V99,^V65
17,14,V20-V99,^V66
17,14,V20-V99,^V67
17,14,V20-V99,^V68
17,14,V20-V99,^V69
17,14,V20-V99,^V70
17,14,V20-V99,^V71
17,14,V20-V99,^V72
17,14,V20-V99,^V73
17,14,V20-V99,^V74
17,14,V20-V99,^V75
17,14,V20-V99,^V76
17,14,V20-V99,^V77
17,14,V20-V99,^V78
17,14,V20-V99,^V79
17,14,V20-V99,^V80
