Year,Sex,Age,Estimate
2002,Both,3,55907
2002,Male,3,28699
2002,Female,3,27208
2003,Both,3,53601
2003,Male,3,27685
2003,Female,3,25916
2004,Both,3,52768
2004,Male,3,26713
2004,Female,3,26055
2005,Both,3,51685
2005,Male,3,26309
2005,Female,3,25376
2006,Both,3,52318
2006,Male,3,26701
2006,Female,3,25617
2007,Both,3,54210
2007,Male,3,27917
2007,Female,3,26293
2008,Both,3,55249
2008,Male,3,28479
2008,Female,3,26770
2009,Both,3,55713
2009,Male,3,28460
2009,Female,3,27253
2010,Both,3,57049
2010,Male,3,29213
2010,Female,3,27836
2011,Both,3,59234
2011,Male,3,30173
2011,Female,3,29061
2012,Both,3,59525
2012,Male,3,30234
2012,Female,3,29291
2013,Both,3,58012
2013,Male,3,29557
2013,Female,3,28455
2014,Both,3,61001
2014,Male,3,31185
2014,Female,3,29816
2015,Both,3,59341
2015,Male,3,30503
2015,Female,3,28838
2016,Both,3,58232
2016,Male,3,29728
2016,Female,3,28504
2017,Both,3,57361
2017,Male,3,29493
2017,Female,3,27868
2018,Both,3,57065
2018,Male,3,29296
2018,Female,3,27769
1981,Both,4,59023
1981,Male,4,30380
1981,Female,4,28643
1982,Both,4,59442
1982,Male,4,30336
1982,Female,4,29106
1983,Both,4,63633
1983,Male,4,32788
1983,Female,4,30845
1984,Both,4,65844
1984,Male,4,33680
1984,Female,4,32164
1985,Both,4,67156
1985,Male,4,34533
1985,Female,4,32623
1986,Both,4,65153
1986,Male,4,33223
1986,Female,4,31930
1987,Both,4,63646
1987,Male,4,32568
1987,Female,4,31078
1988,Both,4,61931
1988,Male,4,31678
1988,Female,4,30253
1989,Both,4,64121
1989,Male,4,32617
1989,Female,4,31504
1990,Both,4,65722
1990,Male,4,33647
1990,Female,4,32075
1991,Both,4,65011
1991,Male,4,33143
1991,Female,4,31868
1992,Both,4,66079
1992,Male,4,34030
1992,Female,4,32049
1993,Both,4,63757
1993,Male,4,32654
1993,Female,4,31103
1994,Both,4,63493
1994,Male,4,32402
1994,Female,4,31091
1995,Both,4,65564
1995,Male,4,33494
1995,Female,4,32070
1996,Both,4,65887
1996,Male,4,33630
1996,Female,4,32257
1997,Both,4,63240
1997,Male,4,32235
1997,Female,4,31005
1998,Both,4,61612
1998,Male,4,31452
1998,Female,4,30160
1999,Both,4,59386
1999,Male,4,30493
1999,Female,4,28893
2000,Both,4,58107
2000,Male,4,29760
2000,Female,4,28347
2001,Both,4,58694
2001,Male,4,30311
2001,Female,4,28383
2002,Both,4,57045
2002,Male,4,29175
2002,Female,4,27870
2003,Both,4,56062
2003,Male,4,28758
2003,Female,4,27304
2004,Both,4,53953
2004,Male,4,27835
2004,Female,4,26118
2005,Both,4,53186
2005,Male,4,26933
2005,Female,4,26253
2006,Both,4,51890
2006,Male,4,26424
2006,Female,4,25466
2007,Both,4,52556
2007,Male,4,26806
2007,Female,4,25750
2008,Both,4,54377
2008,Male,4,28029
2008,Female,4,26348
2009,Both,4,55381
2009,Male,4,28518
2009,Female,4,26863
2010,Both,4,55702
2010,Male,4,28414
2010,Female,4,27288
2011,Both,4,56926
2011,Male,4,29119
2011,Female,4,27807
2012,Both,4,59334
2012,Male,4,30216
2012,Female,4,29118
2013,Both,4,59607
2013,Male,4,30309
2013,Female,4,29298
2014,Both,4,58286
2014,Male,4,29681
2014,Female,4,28605
2015,Both,4,61341
2015,Male,4,31354
2015,Female,4,29987
2016,Both,4,59741
2016,Male,4,30708
2016,Female,4,29033
2017,Both,4,58510
2017,Male,4,29902
2017,Female,4,28608
2018,Both,4,57551
2018,Male,4,29608
2018,Female,4,27943
1981,Both,5,64515
1981,Male,5,33216
1981,Female,5,31299
1982,Both,5,58911
1982,Male,5,30346
1982,Female,5,28565
1983,Both,5,59327
1983,Male,5,30258
1983,Female,5,29069
1984,Both,5,63560
1984,Male,5,32746
1984,Female,5,30814
1985,Both,5,65600
1985,Male,5,33537
1985,Female,5,32063
1986,Both,5,66892
1986,Male,5,34388
1986,Female,5,32504
1987,Both,5,64868
1987,Male,5,33070
1987,Female,5,31798
1988,Both,5,63255
1988,Male,5,32337
1988,Female,5,30918
1989,Both,5,62004
1989,Male,5,31753
1989,Female,5,30251
1990,Both,5,64255
1990,Male,5,32657
1990,Female,5,31598
1991,Both,5,65702
1991,Male,5,33613
1991,Female,5,32089
1992,Both,5,64944
1992,Male,5,33121
1992,Female,5,31823
1993,Both,5,66117
1993,Male,5,34040
1993,Female,5,32077
1994,Both,5,63850
1994,Male,5,32700
1994,Female,5,31150
1995,Both,5,63458
1995,Male,5,32398
1995,Female,5,31060
1996,Both,5,65501
1996,Male,5,33455
1996,Female,5,32046
1997,Both,5,65638
1997,Male,5,33523
