"exclude_if_any","description_icd9"
"014.32","Tuberculosis"
"014.33","Tuberculosis"
"014.34","Tuberculosis"
"014.35","Tuberculosis"
"014.36","Tuberculosis"
"014.37","Tuberculosis"
"014.38","Tuberculosis"
"014.39","Tuberculosis"
"014.4","Tuberculosis"
"014.40","Tuberculosis"
"014.41","Tuberculosis"
"014.42","Tuberculosis"
"014.43","Tuberculosis"
"014.44","Tuberculosis"
"014.45","Tuberculosis"
"014.46","Tuberculosis"
"014.47","Tuberculosis"
"014.48","Tuberculosis"
"014.49","Tuberculosis"
"014.5","Tuberculosis"
"014.50","Tuberculosis"
"014.51","Tuberculosis"
"014.52","Tuberculosis"
"014.53","Tuberculosis"
"014.54","Tuberculosis"
"014.55","Tuberculosis"
"014.56","Tuberculosis"
"014.57","Tuberculosis"
"014.58","Tuberculosis"
"014.59","Tuberculosis"
"014.6","Tuberculosis"
"014.60","Tuberculosis"
"014.61","Tuberculosis"
"014.62","Tuberculosis"
"014.63","Tuberculosis"
"014.64","Tuberculosis"
"014.65","Tuberculosis"
"014.66","Tuberculosis"
"014.67","Tuberculosis"
"014.68","Tuberculosis"
"014.69","Tuberculosis"
"014.7","Tuberculosis"
"014.70","Tuberculosis"
"014.71","Tuberculosis"
"014.72","Tuberculosis"
"014.73","Tuberculosis"
"014.74","Tuberculosis"
"014.75","Tuberculosis"
"014.76","Tuberculosis"
"014.77","Tuberculosis"
"014.78","Tuberculosis"
"014.79","Tuberculosis"
"014.8","Tuberculosis"
"014.80","Tuberculosis"
"014.81","Tuberculosis"
"014.82","Tuberculosis"
"014.83","Tuberculosis"
"014.84","Tuberculosis"
"014.85","Tuberculosis"
"014.86","Tuberculosis"
"014.87","Tuberculosis"
"014.88","Tuberculosis"
"014.89","Tuberculosis"
"014.9","Tuberculosis"
"014.90","Tuberculosis"
"014.91","Tuberculosis"
"014.92","Tuberculosis"
"014.93","Tuberculosis"
"014.94","Tuberculosis"
"014.95","Tuberculosis"
"014.96","Tuberculosis"
"014.97","Tuberculosis"
"014.98","Tuberculosis"
"014.99","Tuberculosis"
"015","Tuberculosis"
"015.0","Tuberculosis"
"015.00","Tuberculosis"
"015.01","Tuberculosis"
"015.02","Tuberculosis"
"015.03","Tuberculosis"
"015.04","Tuberculosis"
"015.05","Tuberculosis"
"015.06","Tuberculosis"
"015.07","Tuberculosis"
"015.08","Tuberculosis"
"015.09","Tuberculosis"
"015.1","Tuberculosis"
"015.10","Tuberculosis"
"015.11","Tuberculosis"
"015.12","Tuberculosis"
"015.13","Tuberculosis"
"015.14","Tuberculosis"
"015.15","Tuberculosis"
"015.16","Tuberculosis"
"015.17","Tuberculosis"
"015.18","Tuberculosis"
"015.19","Tuberculosis"
"015.2","Tuberculosis"
"015.20","Tuberculosis"
"015.21","Tuberculosis"
"015.22","Tuberculosis"
"015.23","Tuberculosis"
"015.24","Tuberculosis"
"015.25","Tuberculosis"
"015.26","Tuberculosis"
"015.27","Tuberculosis"
"015.28","Tuberculosis"
"015.29","Tuberculosis"
"015.3","Tuberculosis"
"015.30","Tuberculosis"
"015.31","Tuberculosis"
"015.32","Tuberculosis"
"015.33","Tuberculosis"
"015.34","Tuberculosis"
"015.35","Tuberculosis"
"015.36","Tuberculosis"
"015.37","Tuberculosis"
"015.38","Tuberculosis"
"015.39","Tuberculosis"
"015.4","Tuberculosis"
"015.40","Tuberculosis"
"015.41","Tuberculosis"
"015.42","Tuberculosis"
"015.43","Tuberculosis"
"015.44","Tuberculosis"
"015.45","Tuberculosis"
"015.46","Tuberculosis"
"015.47","Tuberculosis"
"015.48","Tuberculosis"
"015.49","Tuberculosis"
"015.5","Tuberculosis"
"015.50","Tuberculosis"
"015.51","Tuberculosis"
"015.52","Tuberculosis"
"015.53","Tuberculosis"
"015.54","Tuberculosis"
"015.55","Tuberculosis"
"015.56","Tuberculosis"
"015.57","Tuberculosis"
"015.58","Tuberculosis"
"015.59","Tuberculosis"
"015.6","Tuberculosis"
"015.60","Tuberculosis"
"015.61","Tuberculosis"
"015.62","Tuberculosis"
"015.63","Tuberculosis"
"015.64","Tuberculosis"
"015.65","Tuberculosis"
"015.66","Tuberculosis"
"015.67","Tuberculosis"
"015.68","Tuberculosis"
"015.69","Tuberculosis"
"015.7","Tuberculosis"
"015.70","Tuberculosis"
"015.71","Tuberculosis"
"015.72","Tuberculosis"
"015.73","Tuberculosis"
"015.74","Tuberculosis"
"015.75","Tuberculosis"
"015.76","Tuberculosis"
"015.77","Tuberculosis"
"015.78","Tuberculosis"
"015.79","Tuberculosis"
"015.8","Tuberculosis"
"015.80","Tuberculosis"
"015.81","Tuberculosis"
"015.82","Tuberculosis"
"015.83","Tuberculosis"
"015.84","Tuberculosis"
"015.85","Tuberculosis"
"015.86","Tuberculosis"
"015.87","Tuberculosis"
"015.88","Tuberculosis"
"015.89","Tuberculosis"
"015.9","Tuberculosis"
"015.90","Tuberculosis"
"015.91","Tuberculosis"
"015.92","Tuberculosis"
"015.93","Tuberculosis"
"015.94","Tuberculosis"
"015.95","Tuberculosis"
"015.96","Tuberculosis"
"015.97","Tuberculosis"
"015.98","Tuberculosis"
"015.99","Tuberculosis"
"016","Tuberculosis"
"016.0","Tuberculosis"
"016.00","Tuberculosis"
"016.01","Tuberculosis"
"016.02","Tuberculosis"
"016.03","Tuberculosis"
"016.04","Tuberculosis"
"016.05","Tuberculosis"
"016.06","Tuberculosis"
"016.07","Tuberculosis"
"016.08","Tuberculosis"
"016.09","Tuberculosis"
"016.1","Tuberculosis"
"016.10","Tuberculosis"
"016.11","Tuberculosis"
"016.12","Tuberculosis"
"016.13","Tuberculosis"
"016.14","Tuberculosis"
"016.15","Tuberculosis"
"016.16","Tuberculosis"
"016.17","Tuberculosis"
"016.18","Tuberculosis"
"016.19","Tuberculosis"
"016.2","Tuberculosis"
"016.20","Tuberculosis"
"016.21","Tuberculosis"
"016.22","Tuberculosis"
"016.23","Tuberculosis"
"016.24","Tuberculosis"
"016.25","Tuberculosis"
"016.26","Tuberculosis"
"016.27","Tuberculosis"
"016.28","Tuberculosis"
"016.29","Tuberculosis"
"016.3","Tuberculosis"
"016.30","Tuberculosis"
"016.31","Tuberculosis"
"016.32","Tuberculosis"
"016.33","Tuberculosis"
"016.34","Tuberculosis"
"016.35","Tuberculosis"
"016.36","Tuberculosis"
"016.37","Tuberculosis"
"016.38","Tuberculosis"
"016.39","Tuberculosis"
"016.4","Tuberculosis"
"016.40","Tuberculosis"
"016.41","Tuberculosis"
"016.42","Tuberculosis"
"016.43","Tuberculosis"
"016.44","Tuberculosis"
"016.45","Tuberculosis"
"016.46","Tuberculosis"
"016.47","Tuberculosis"
"016.48","Tuberculosis"
"016.49","Tuberculosis"
"016.5","Tuberculosis"
"016.50","Tuberculosis"
"016.51","Tuberculosis"
"016.52","Tuberculosis"
"016.53","Tuberculosis"
"016.54","Tuberculosis"
"016.55","Tuberculosis"
"016.56","Tuberculosis"
"016.57","Tuberculosis"
"016.58","Tuberculosis"
"016.59","Tuberculosis"
"016.6","Tuberculosis"
"016.60","Tuberculosis"
"016.61","Tuberculosis"
"016.62","Tuberculosis"
"016.63","Tuberculosis"
"016.64","Tuberculosis"
"016.65","Tuberculosis"
"016.66","Tuberculosis"
"016.67","Tuberculosis"
"016.68","Tuberculosis"
"016.69","Tuberculosis"
"016.7","Tuberculosis"
"016.70","Tuberculosis"
"016.71","Tuberculosis"
"016.72","Tuberculosis"
"016.73","Tuberculosis"
"016.74","Tuberculosis"
"016.75","Tuberculosis"
"016.76","Tuberculosis"
"016.77","Tuberculosis"
"016.78","Tuberculosis"
"016.79","Tuberculosis"
"016.8","Tuberculosis"
"016.80","Tuberculosis"
"016.81","Tuberculosis"
"016.82","Tuberculosis"
"016.83","Tuberculosis"
"016.84","Tuberculosis"
"016.85","Tuberculosis"
"016.86","Tuberculosis"
"016.87","Tuberculosis"
"016.88","Tuberculosis"
"016.89","Tuberculosis"
"016.9","Tuberculosis"
"016.90","Tuberculosis"
"016.91","Tuberculosis"
"016.92","Tuberculosis"
"016.93","Tuberculosis"
"016.94","Tuberculosis"
"016.95","Tuberculosis"
"016.96","Tuberculosis"
"016.97","Tuberculosis"
"016.98","Tuberculosis"
"016.99","Tuberculosis"
"017","Tuberculosis"
"017.0","Tuberculosis"
"017.00","Tuberculosis"
"017.01","Tuberculosis"
"017.02","Tuberculosis"
"017.03","Tuberculosis"
"017.04","Tuberculosis"
"017.05","Tuberculosis"
"017.06","Tuberculosis"
"017.07","Tuberculosis"
"017.08","Tuberculosis"
"017.09","Tuberculosis"
"017.1","Tuberculosis"
"017.10","Tuberculosis"
"017.11","Tuberculosis"
"017.12","Tuberculosis"
"017.13","Tuberculosis"
"017.14","Tuberculosis"
"017.15","Tuberculosis"
"017.16","Tuberculosis"
"017.17","Tuberculosis"
"017.18","Tuberculosis"
"017.19","Tuberculosis"
"017.2","Tuberculosis"
"017.20","Tuberculosis"
"017.21","Tuberculosis"
"017.22","Tuberculosis"
"017.23","Tuberculosis"
"017.24","Tuberculosis"
"017.25","Tuberculosis"
"017.26","Tuberculosis"
"017.27","Tuberculosis"
"017.28","Tuberculosis"
"017.29","Tuberculosis"
"017.3","Tuberculosis"
"017.30","Tuberculosis"
"017.31","Tuberculosis"
"017.32","Tuberculosis"
"017.33","Tuberculosis"
"017.34","Tuberculosis"
"017.35","Tuberculosis"
"017.36","Tuberculosis"
"017.37","Tuberculosis"
"017.38","Tuberculosis"
"017.39","Tuberculosis"
"017.4","Tuberculosis"
"017.40","Tuberculosis"
"017.41","Tuberculosis"
"017.42","Tuberculosis"
"017.43","Tuberculosis"
"017.44","Tuberculosis"
"017.45","Tuberculosis"
"017.46","Tuberculosis"
"017.47","Tuberculosis"
"017.48","Tuberculosis"
"017.49","Tuberculosis"
"017.5","Tuberculosis"
"017.50","Tuberculosis"
"017.51","Tuberculosis"
"017.52","Tuberculosis"
"017.53","Tuberculosis"
"017.54","Tuberculosis"
"017.55","Tuberculosis"
"017.56","Tuberculosis"
"017.57","Tuberculosis"
"017.58","Tuberculosis"
"017.59","Tuberculosis"
"017.6","Tuberculosis"
"017.60","Tuberculosis"
"017.61","Tuberculosis"
"017.62","Tuberculosis"
"017.63","Tuberculosis"
"017.64","Tuberculosis"
"017.65","Tuberculosis"
"017.66","Tuberculosis"
"017.67","Tuberculosis"
"017.68","Tuberculosis"
"017.69","Tuberculosis"
"017.7","Tuberculosis"
"017.70","Tuberculosis"
"017.71","Tuberculosis"
"017.72","Tuberculosis"
"017.73","Tuberculosis"
"017.74","Tuberculosis"
"017.75","Tuberculosis"
"017.76","Tuberculosis"
"017.77","Tuberculosis"
"017.78","Tuberculosis"
"017.79","Tuberculosis"
"017.8","Tuberculosis"
"017.80","Tuberculosis"
"017.81","Tuberculosis"
"017.82","Tuberculosis"
"017.83","Tuberculosis"
"017.84","Tuberculosis"
"017.85","Tuberculosis"
"017.86","Tuberculosis"
"017.87","Tuberculosis"
"017.88","Tuberculosis"
"017.89","Tuberculosis"
"017.9","Tuberculosis"
"017.90","Tuberculosis"
"017.91","Tuberculosis"
"017.92","Tuberculosis"
"017.93","Tuberculosis"
"017.94","Tuberculosis"
"017.95","Tuberculosis"
"017.96","Tuberculosis"
"017.97","Tuberculosis"
"017.98","Tuberculosis"
"017.99","Tuberculosis"
"018.0","Tuberculosis"
"018.00","Tuberculosis"
"018.01","Tuberculosis"
"018.02","Tuberculosis"
"018.03","Tuberculosis"
"018.04","Tuberculosis"
"018.05","Tuberculosis"
"018.06","Tuberculosis"
"018.07","Tuberculosis"
"018.08","Tuberculosis"
"018.09","Tuberculosis"
"018.1","Tuberculosis"
"018.10","Tuberculosis"
"018.11","Tuberculosis"
"018.12","Tuberculosis"
"018.13","Tuberculosis"
"018.14","Tuberculosis"
"018.15","Tuberculosis"
"018.16","Tuberculosis"
"018.17","Tuberculosis"
"018.18","Tuberculosis"
"018.19","Tuberculosis"
"018.2","Tuberculosis"
"018.20","Tuberculosis"
"018.21","Tuberculosis"
"018.22","Tuberculosis"
"018.23","Tuberculosis"
"018.24","Tuberculosis"
"018.25","Tuberculosis"
"018.26","Tuberculosis"
"018.27","Tuberculosis"
"018.28","Tuberculosis"
"018.29","Tuberculosis"
"018.3","Tuberculosis"
"018.30","Tuberculosis"
"018.31","Tuberculosis"
"018.32","Tuberculosis"
"018.33","Tuberculosis"
"018.34","Tuberculosis"
"018.35","Tuberculosis"
"018.36","Tuberculosis"
"018.37","Tuberculosis"
"018.38","Tuberculosis"
"018.39","Tuberculosis"
"018.4","Tuberculosis"
"018.40","Tuberculosis"
"018.41","Tuberculosis"
"018.42","Tuberculosis"
"018.43","Tuberculosis"
"018.44","Tuberculosis"
"018.45","Tuberculosis"
"018.46","Tuberculosis"
"018.47","Tuberculosis"
"018.48","Tuberculosis"
"018.49","Tuberculosis"
"018.5","Tuberculosis"
"018.50","Tuberculosis"
"018.51","Tuberculosis"
"018.52","Tuberculosis"
"018.53","Tuberculosis"
"018.54","Tuberculosis"
"018.55","Tuberculosis"
"018.56","Tuberculosis"
"018.57","Tuberculosis"
"018.58","Tuberculosis"
"018.59","Tuberculosis"
"018.6","Tuberculosis"
"018.60","Tuberculosis"
"018.61","Tuberculosis"
"018.62","Tuberculosis"
"018.63","Tuberculosis"
"018.64","Tuberculosis"
"018.65","Tuberculosis"
"018.66","Tuberculosis"
"018.67","Tuberculosis"
"018.68","Tuberculosis"
"018.69","Tuberculosis"
"018.7","Tuberculosis"
"018.70","Tuberculosis"
"018.71","Tuberculosis"
"018.72","Tuberculosis"
"018.73","Tuberculosis"
"018.74","Tuberculosis"
"018.75","Tuberculosis"
"018.76","Tuberculosis"
"018.77","Tuberculosis"
"018.78","Tuberculosis"
"018.79","Tuberculosis"
"018.8","Tuberculosis"
"018.80","Tuberculosis"
"018.81","Tuberculosis"
